"Date","Capacité opérationelle","Détenus","Prévenus"
"01/03/2019","60867.0","71037.0","20475.0"
"01/02/2019","60882.0","70652.0","20776.0"
"01/01/2019","60151.0","70059.0","20343.0"
"01/12/2018","60139.0","71061.0","20883.0"
"01/11/2018","60108.0","70708.0","20554.0"
"01/10/2018","59891.0","70714.0","20915.0"
"01/09/2018","59875.0","70164.0","20302.0"
"01/08/2018","59870.0","70519.0","20336.0"
"01/07/2018","59090.0","70710.0","21007.0"
"01/06/2018","59118.0","70408.0","20753.0"
"01/05/2018","58548.0","70633.0","20939.0"
"01/04/2018","58670.0","70367.0","20852.0"
"01/03/2018","58664.0","69879.0","20788.0"
"01/02/2018","58672.0","69596.0","20541.0"
"01/01/2018","58681.0","68974.0","19815.0"
"01/12/2017","58663.0","69714.0","20396.0"
"01/11/2017","58484.0","69307.0","20302.0"
"01/10/2017","58476.0","68574.0","19889.0"
"01/09/2017","58587.0","68564.0","19433.0"
"01/08/2017","58507.0","69126.0","19472.0"
"01/07/2017","58311.0","70018.0","20427.0"
"01/06/2017","58683.0","69502.0","20189.0"
"01/05/2017","58683.0","69679.0","20333.0"
"01/04/2017","58659.0","70230.0","20450.0"
"01/03/2017","58847.0","69430.0","20273.0"
"01/02/2017","58787.0","69077.0","20176.0"
"01/01/2017","58561.0","68432.0","19498.0"
"01/12/2016","58082.0","69012.0","19925.0"
"01/11/2016","57843.0","68560.0","19851.0"
"01/10/2016","57838.0","68514.0","19615.0"
"01/09/2016","57810.0","68253.0","19384.0"
"01/08/2016","57775.0","68819.0","19297.0"
"01/07/2016","57759.0","69375.0","20035.0"
"01/06/2016","57810.0","68542.0","19547.0"
"01/05/2016","57826.0","68685.0","19628.0"
"01/04/2016","57920.0","68361.0","19306.0"
"01/03/2016","57856.0","67580.0","18897.0"
"01/02/2016","57844.0","67362.0","18915.0"
"01/01/2016","57841.0","66678.0","18158.0"
"01/12/2015","57854.0","66818.0","18583.0"
"01/11/2015","57860.0","66198.0","18388.0"
"01/10/2015","58054.0","65765.0","17614.0"
"01/09/2015","57520.0","65544.0","17398.0"
"01/08/2015","57531.0","66121.0","17304.0"
"01/07/2015","57712.0","66864.0","17602.0"
"01/06/2015","57740.0","66674.0","17660.0"
"01/05/2015","57631.0","66967.0","17580.0"
"01/04/2015","57680.0","66761.0","17100.0"
"01/03/2015","57552.0","66434.0","17118.0"
"01/02/2015","57844.0","66310.0","17291.0"
"01/01/2015","57841.0","66270.0","16549.0"
"01/12/2014","57854.0","67105.0","17526.0"
"01/11/2014","57860.0","66530.0","17115.0"
"01/10/2014","58054.0","66494.0","17090.0"
"01/09/2014","57520.0","66354.0","16900.0"
"01/08/2014","57531.0","67070.0","16938.0"
"01/07/2014","57712.0","68295.0","17773.0"
"01/06/2014","57740.0","68648.0","17677.0"
"01/05/2014","57631.0","68643.0","17495.0"
"01/04/2014","57680.0","68859.0","17846.0"
"01/03/2014","57552.0","68420.0","17589.0"
"01/02/2014","57490.0","67820.0","17363.0"
"01/01/2014","57516.0","67075.0","16622.0"
"01/12/2013","57447.0","67738.0","17192.0"
"01/11/2013","57390.0","67050.0","17057.0"
"01/10/2013","57435.0","67310.0","16795.0"
"01/09/2013","57473.0","67088.0","16604.0"
"01/08/2013","57238.0","67683.0","16454.0"
"01/07/2013","57320.0","68569.0","17318.0"
"01/06/2013","57325.0","67977.0","17195.0"
"01/05/2013","57235.0","67839.0","16987.0"
"01/04/2013","56975.0","67493.0","17166.0"
"01/03/2013","56920.0","66995.0","16799.0"
"01/02/2013","57030.0","66746.0","16754.0"
"01/01/2013","56992.0","66572.0","16454.0"
"01/12/2012","56953.0","67674.0","16945.0"
"01/11/2012","56933.0","67225.0","16821.0"
"01/10/2012","56991.0","66704.0","16915.0"
"01/09/2012","57385.0","66126.0","16266.0"
"01/08/2012","57405.0","66748.0","16467.0"
"01/07/2012","57408.0","67373.0","17138.0"
"01/06/2012","57127.0","66915.0","16756.0"
"01/05/2012","57170.0","67073.0","16773.0"
"01/04/2012","57243.0","67161.0","17027.0"
"01/03/2012","57213.0","66445.0","16512.0"
"01/02/2012","57213.0","65699.0","16463.0"
"01/01/2012","57236.0","64787.0","16279.0"
"01/12/2011","57255.0","65262.0","16587.0"
"01/11/2011","57268.0","64711.0","16456.0"
"01/10/2011","56562.0","64147.0","16457.0"
"01/09/2011","56556.0","63602.0","16056.0"
"01/08/2011","56506.0","64052.0","16113.0"
"01/07/2011","56081.0","64726.0","16791.0"
"01/06/2011","56109.0","64971.0","16960.0"
"01/05/2011","56150.0","64584.0","16882.0"
"01/04/2011","56150.0","64148.0","16956.0"
"01/03/2011","56518.0","62685.0","16750.0"
"01/02/2011","56454.0","61771.0","16361.0"
"01/01/2011","56358.0","60544.0","15702.0"
"01/12/2010","56463.0","61473.0","16170.0"
"01/11/2010","56455.0","61428.0","16057.0"
"01/10/2010","56426.0","61142.0","15851.0"
"01/09/2010","56428.0","60789.0","15226.0"
"01/08/2010","56428.0","60881.0","15388.0"
"01/07/2010","56419.0","62113.0","15963.0"
"01/06/2010","56793.0","61656.0","15942.0"
"01/05/2010","56779.0","61604.0","15963.0"
"01/04/2010","56324.0","61706.0","15797.0"
"01/03/2010","55932.0","61343.0","15680.0"
"01/02/2010","55293.0","61363.0","15853.0"
"01/01/2010","54988.0","60978.0","15395.0"