Date de l'annonce,Ministre,Lieu,Département,Type,Livraison,Places nettes,Places brutes,Statut,Lien
23/02/2017,Jean-Jacques Urvoas,Nice,Alpes-Maritimes,Maison d'arrêt,2027,650,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
05/05/2011,Michel Mercier,Lavau,Aube,Centre pénitentiaire,2022,406,490,confirmé,http://www.presse.justice.gouv.fr/art_pix/1_DP_nouv_prog_immobilier_penit_v3.pdf
23/02/2017,Jean-Jacques Urvoas,Narbonne,Aude,Maison d'arrêt,,500,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Strasbourg (agglo.),Bas-Rhin,Maison d'arrêt,2027,500,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Aix 2,Bouches-du-Rhône,Centre pénitentiaire,2022,32,735,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
05/05/2011,Michel Mercier,Baumettes 2,Bouches-du-Rhône,Centre pénitentiaire,2022,573,42,confirmé,http://www.presse.justice.gouv.fr/art_pix/1_DP_nouv_prog_immobilier_penit_v3.pdf
20/09/2016,Jean-Jacques Urvoas,Baumettes 3,Bouches-du-Rhône,Centre pénitentiaire,2022,740,,confirmé,https://www.lemoniteur.fr/article/prisons-le-plan-d-1-1-milliard-d-euros-de-travaux-presente-par-le-ministre-de-la-justice.1314329
18/10/2018,Nicole Belloubet,Caen,Calvados,Structure d'accompagnement vers la sortie,2022,90,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
13/06/2016,Jean-Jacques Urvoas,Caen-Ifs,Calvados,Maison d'arrêt,2027,282,550,confirmé,https://www.ouest-france.fr/normandie/caen-14000/caen-ce-lundi-ou-sont-les-ministres-ou-sont-les-manifs-4294391
23/02/2017,Jean-Jacques Urvoas,Angoulême,Charente,Maison d'arrêt,,400,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Ajaccio,Corse-du-Sud,Maison d'arrêt,,100,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Valence,Drôme,Structure d'accompagnement vers la sortie,2022,120,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
16/01/2004,Pierre Bédier,Fleury-Mérogis,Essonne,Réhabilitation,2022,460,,confirmé,https://www.lemoniteur.fr/article/fleury-merogis-lancement-de-la-renovation-de-la-plus-grande-prison-d-europe.1827989
23/02/2017,Jean-Jacques Urvoas,Alès,Gard,Maison d'arrêt,2027,500,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
14/11/2017,Nicole Belloubet,Nîmes,Gard,Extension,2022,150,,confirmé,https://france3-regions.francetvinfo.fr/occitanie/gard/nimes/nimes-extension-prison-nimes-confirmee-ministre-justice-1365795.html
28/10/2014,Christiane Taubira,Gradignan,Gironde,Centre pénitentiaire,2022,173,609,confirmé,https://www.20minutes.fr/bordeaux/1469731-20141028-bordeaux-taubira-annonce-maison-arret-gradignan-va-etre-reconstruite-2016
15/05/2017,Christiane Taubira,Baie-Mahault,Guadeloupe,Extension,2022,300,,confirmé,https://www.gouvernement.fr/action/plus-de-moyens-pour-la-justice
05/05/2011,Michel Mercier,Basse-Terre,Guadeloupe,Maison d'arrêt,2022,71,200,confirmé,http://www.presse.justice.gouv.fr/art_pix/1_DP_nouv_prog_immobilier_penit_v3.pdf
23/02/2017,Jean-Jacques Urvoas,,Guadeloupe,Centre de détention,,300,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Saint-Laurent-du-Maroni,Guyane,Maison d'arrêt,2027,500,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Colmar,Haut-Rhin,Structure d'accompagnement vers la sortie,2022,120,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Colmar,Haut-Rhin,Maison d'arrêt,,550,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
05/05/2011,Michel Mercier,Lutterbach,Haut-Rhin,Centre pénitentiaire,2022,122,520,confirmé,http://www.presse.justice.gouv.fr/art_pix/1_DP_nouv_prog_immobilier_penit_v3.pdf
23/02/2017,Jean-Jacques Urvoas,Muret,Haute-Garonne,Maison d'arrêt,2027,600,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
09/05/2017,Jean-Jacques Urvoas,Nanterre,Hauts-de-Seine,CSL,2022,92,,confirmé,http://www.leparisien.fr/nanterre-92000/92-detenus-en-semi-liberte-s-installeront-a-nanterre-l-an-prochain-09-05-2017-6932823.php
18/10/2018,Nicole Belloubet,Montpellier,Hérault,Structure d'accompagnement vers la sortie,2022,150,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Montpellier,Hérault,Maison d'arrêt,,500,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Rennes (agglo.),Ille-et-Vilaine,Maison d'arrêt,2027,450,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Grenoble (agglo.),Isère,Structure d'accompagnement vers la sortie,2022,120,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Bouguenais,Loire-Atlantique,Maison d'arrêt,,300,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Orléans,Loiret,Structure d'accompagnement vers la sortie,2022,120,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/11/2016,Jean-Jacques Urvoas,Angers,Maine-et-Loire,Maison d'arrêt,2027,134,400,confirmé,https://www.ouest-france.fr/pays-de-la-loire/maine-et-loire/le-ministre-confirme-la-nouvelle-prison-par-ecrit-4623940
23/02/2017,Jean-Jacques Urvoas,Cherbourg,Manche,Maison d'arrêt,,200,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Châlons-en-Champagne,Marne,Centre pénitentiaire,2022,200,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Dommartin-les-Toul,Meurthe-et-Moselle,Maison d'arrêt,,600,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Vannes (agglo.),Morbihan,Maison d'arrêt,,400,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
05/05/2011,Michel Mercier,Lille-Loos,Nord,Centre pénitentiaire,2022,720,,confirmé,http://www.presse.justice.gouv.fr/art_pix/1_DP_nouv_prog_immobilier_penit_v3.pdf
18/10/2018,Nicole Belloubet,Lille-Loos,Nord,Structure d'accompagnement vers la sortie,2022,120,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
29/10/2014,Christiane Taubira,Koné,Nouvelle-Calédonie,Centre de détention,2022,120,,confirmé,https://2012-2017.nosdeputes.fr/14/seance/3988#inter_990bf3492619da657aaee10d72951bb9
05/05/2011,Michel Mercier,La Santé,Paris,Réhabilitation,2022,734,808,confirmé,http://www.presse.justice.gouv.fr/art_pix/1_DP_nouv_prog_immobilier_penit_v3.pdf
23/02/2017,Jean-Jacques Urvoas,Arras,Pas-de-Calais,Maison d'arrêt,,600,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Pau,Pyrénées-Atlantique,Maison d'arrêt,2027,250,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Perpignan,Pyrénées-Orientales,Maison d'arrêt,2027,500,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Châtenoy-le-Royal,Saône-et-Loire,Maison d'arrêt,,500,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Le Mans,Sarthe,Structure d'accompagnement vers la sortie,2022,90,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Meaux,Seine-et-Marne,Structure d'accompagnement vers la sortie,2022,180,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Melun,Seine-et-Marne,Maison d'arrêt,2027,700,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,,Seine-Maritime,Structure d'accompagnement vers la sortie,2022,90,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Noisy-le-Grand,Seine-Saint-Denis,Structure d'accompagnement vers la sortie,2022,120,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Tremblay-en-France,Seine-Saint-Denis,Maison d'arrêt,2027,700,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Osny,Val-d'Oise,Structure d'accompagnement vers la sortie,2022,180,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,,Val-d'Oise,Maison d'arrêt,2027,600,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Noiseau,Val-de-Marne,Maison d'arrêt,2027,700,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,,Val-de-Marne,Structure d'accompagnement vers la sortie,2022,150,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Toulon,Var,Maison d'arrêt,,200,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,Draguignan,Var,Maison d'arrêt,2022,504,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Toulon,Var,Structure d'accompagnement vers la sortie,2022,180,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,,Var,Maison d'arrêt,2027,600,,confirmé,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Entraigues-sur-la-Sorgue,Vaucluse,Maison d'arrêt,2027,400,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Avignon,Vaucluse,Structure d'accompagnement vers la sortie,2022,120,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Fontenay-le-Comte,Vendée,Maison d'arrêt,,250,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
18/10/2018,Nicole Belloubet,,Wallis-et-Futuna,Centre pénitentiaire,2022,10,,annoncé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
18/10/2018,Nicole Belloubet,Poissy,Yvelines,Structure d'accompagnement vers la sortie,2022,60,,confirmé,http://www.justice.gouv.fr/art_pix/2018_10_18_Dossier%20de%20presse_Plan_immobilier_penitentiaire.pdf
23/02/2017,Jean-Jacques Urvoas,Nice,Alpes-Maritimes,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Marseille,Bouches-du-Rhône,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Strasbourg,Bas-Rhin,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,Lyon,Rhône,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf
23/02/2017,Jean-Jacques Urvoas,,La Réunion,Quartier de préparation à la sortie,,,,abandonné,http://www.justice.gouv.fr/art_pix/dossier_plan_encellulement_individuel_20170223.pdf