Année,Voitures incendiées,«Mises à feu directes»,Personnes interpellées,Personnes en GAV,Commentaire,Lien
2002,388,,,,,http://www.leparisien.fr/faits-divers/pres-de-400-voitures-brulees-pour-le-reveillon-02-01-2003-2003700253.php
2003,379,,,,,http://www.leparisien.fr/faits-divers/pres-de-400-voitures-brulees-pour-le-reveillon-02-01-2003-2003700253.php
2004,324,,,,,http://abonnes.lemonde.fr/societe/article/2010/01/05/en-une-decennie-le-phenomene-des-voitures-brulees-s-est-etendu-et-banalise_1287638_3224.html
2005,337,,,,,
2006,425,,,,,
2007,397,,,,,
2008,878,,259,,,http://questions.assemblee-nationale.fr/q13/13-73139QE.htm
2009,1147,,288,219,,http://questions.assemblee-nationale.fr/q13/13-73139QE.htm
2010,1137,,549,481,"«Ces résultats sont la conséquence de la mobilisation et de la réactivité des policiers, gendarmes et pompiers, qui ont permis, par une présence dissuasive, d'assurer la sécurité de nos concitoyens sur l'ensemble du territoire national»",http://www.interieur.gouv.fr/Archives/Archives-ministre-de-l-interieur/Archives-de-Brice-Hortefeux-2009-2011/Communiques/Bilan-nuit-Saint-Sylvestre
2011,950,,501,,,http://www.lefigaro.fr/actualite-france/2011/01/04/01016-20110104ARTFIG00646-moins-de-950-voitures-brulees-lors-de-la-saint-sylvestre.php
2012,,,251,181,,http://www.interieur.gouv.fr/Archives/Archives-ministre-de-l-interieur/Archives-Claude-Gueant-2011-2012/Communiques-du-Ministre/Festivites-de-la-nuit-de-la-Saint-Sylvestre
2013,1193,849,339,244,,http://www.interieur.gouv.fr/Archives/Archives-des-actualites/2013/Bilan-de-la-nuit-de-la-St-Sylvestre
2014,1067,,322,221,«Il y a encore trop de véhicules qui sont brûlés.»,http://www.interieur.gouv.fr/Archives/Archives-des-actualites/2013/Nuit-de-la-Saint-Sylvestre
2015,940,,308,251,,http://www.interieur.gouv.fr/Actualites/Communiques/Bilan-de-la-nuit-de-la-Saint-Sylvestre-2014
2016,804,602,622,368,«Ces résultats confirment la grande efficacité du travail des forces de sécurité.»,http://www.interieur.gouv.fr/Actualites/Communiques/Bilan-de-la-nuit-de-la-Saint-Sylvestre-2015
2017,945,650,454,301,,http://abonnes.lemonde.fr/les-decodeurs/article/2017/01/02/nouvel-an-comment-bruno-le-roux-a-minimise-la-forte-hausse-du-nombre-de-voitures-brulees_5056261_4355770.html